period,portfolio_size,annualized_return,annualized_volatility,sharpe_zero_rf,max_drawdown,months
train_2016_2019,20,0.10298574193943111,0.2739167605280718,0.3759745907511812,-0.2717452281886906,45
train_2016_2019,30,0.13652965085506352,0.233155235878302,0.5855740289972587,-0.23330464505638526,45
train_2016_2019,50,0.12066019157352903,0.18985636658405156,0.6355340816032703,-0.23651340401102516,45
train_2016_2019,100,0.13551965140544242,0.1518480322997219,0.8924689332684268,-0.21689445063434798,45
test_2020_2022,20,0.45226302980556343,0.38626666395291986,1.1708570063418353,-0.3596002932063175,36
test_2020_2022,30,0.42344034715839673,0.36087676163825566,1.1733655146874076,-0.3374040838033796,36
test_2020_2022,50,0.36167898834233725,0.321324585230331,1.1255876610968922,-0.3065163179415462,36
test_2020_2022,100,0.3006599959170375,0.2860364597144588,1.0511247280055729,-0.28447236725785097,36
holdout_2023_2026,20,0.30004854531592096,0.4792359090598294,0.6260977936827808,-0.37992038568581654,42
holdout_2023_2026,30,0.327370232536109,0.4204526034262515,0.7786138791111816,-0.3178211106572242,42
holdout_2023_2026,50,0.2943523179677727,0.36275311520544606,0.8114398074874302,-0.26114146410439265,42
holdout_2023_2026,100,0.21578833530987307,0.29228952675709524,0.7382691323360421,-0.20259928054677812,42
