Ticker,min,max,count
A,2016-01-04,2026-08-28,2674
AA,2016-01-04,2026-08-28,2678
AAL,2016-01-04,2026-08-28,2675
AAOI,2016-01-04,2026-08-28,2678
AAP,2026-01-26,2026-05-18,79
AAPL,2016-01-04,2026-08-28,2674
ABBV,2016-01-04,2026-08-28,2674
ABCL,2020-12-11,2026-08-28,1433
ABEV,2016-01-04,2026-08-28,2676
ABNB,2020-12-10,2026-08-28,1430
ABT,2016-01-04,2026-08-28,2674
ABVX,2023-10-20,2026-08-28,714
ACGL,2016-01-04,2026-08-28,2674
ACGLO,2017-08-21,2026-08-28,2267
ACHR,2020-12-18,2026-08-28,1428
ACN,2016-01-04,2026-08-28,2674
ADBE,2016-01-04,2026-08-28,2674
ADI,2016-01-04,2026-08-28,2674
ADM,2016-01-04,2026-08-28,2674
ADP,2016-01-04,2026-08-28,2674
ADSK,2016-01-04,2026-08-28,2674
ADT,2018-01-19,2026-08-28,2163
AEE,2016-01-04,2026-08-28,2674
AEG,2016-01-04,2026-08-28,2678
AEIS,2016-01-04,2026-08-28,2678
AEM,2016-01-04,2026-08-28,2678
AEO,2016-01-04,2026-08-28,2678
AEP,2016-01-04,2026-08-28,2674
AER,2016-01-04,2026-08-28,2675
AES,2016-01-04,2026-08-28,2674
AFG,2016-01-04,2026-08-28,2675
AFL,2016-01-04,2026-08-28,2674
AFRM,2021-01-13,2026-08-28,1412
AFX,2016-01-04,2020-01-24,476
AG,2016-01-04,2026-08-28,2678
AGI,2016-01-04,2026-08-28,2678
AGNC,2016-01-04,2026-08-28,2678
AHR,2024-02-07,2026-08-28,638
AIG,2016-01-04,2026-08-28,2674
AIT,2016-01-04,2026-08-28,2678
AIZ,2016-01-04,2026-08-28,2674
AJG,2016-01-04,2026-08-28,2674
AKAM,2016-01-04,2026-08-28,2674
ALAB,2024-03-20,2026-08-28,612
ALB,2016-01-04,2026-08-28,2674
ALC,2019-04-09,2026-08-28,1857
ALGN,2016-01-04,2026-08-28,2674
ALHC,2021-03-26,2026-08-28,1361
ALL,2016-01-04,2026-08-28,2674
ALL-PB,2018-09-06,2026-08-28,2005
ALL-PH,2019-08-02,2026-08-28,1776
ALLE,2016-01-04,2026-08-28,2674
ALLY,2016-01-04,2026-08-28,2678
ALM,2016-01-04,2026-08-28,2678
ALNY,2026-01-26,2026-08-28,87
ALV,2016-01-04,2026-05-18,2608
AM,2017-05-04,2026-08-28,2280
AMAT,2016-01-04,2026-08-28,2674
AMC,2016-01-04,2026-08-28,2678
AMCR,2016-01-04,2026-08-28,2674
AMD,2016-01-04,2026-08-28,2674
AMDL,2024-03-18,2026-05-18,544
AME,2016-01-04,2026-08-28,2674
AMGN,2016-01-04,2026-08-28,2674
AMH,2016-01-04,2026-08-28,2675
AMKR,2016-01-04,2026-08-28,2678
AMP,2016-01-04,2026-08-28,2674
AMRZ,2025-06-23,2026-08-28,298
AMS,2016-01-04,2026-05-18,2608
AMT,2016-01-04,2026-08-28,2674
AMX,2016-01-04,2026-08-28,2678
AMZN,2016-01-04,2026-08-28,2674
ANA,2018-07-05,2022-03-02,917
ANET,2016-01-04,2026-08-28,2674
AON,2016-01-04,2026-08-28,2674
AOS,2016-01-04,2026-08-17,2666
APA,2016-01-04,2026-08-28,2674
APD,2016-01-04,2026-08-28,2674
APG,2020-04-29,2026-08-28,1588
APH,2016-01-04,2026-08-28,2674
APLD,2022-04-13,2026-08-28,1097
APO,2016-01-04,2026-08-28,2674
APP,2021-04-15,2026-08-28,1349
APTV,2016-01-04,2026-08-17,2666
AR,2016-01-04,2026-08-28,2678
ARCC,2016-01-04,2026-08-28,2678
ARE,2016-01-04,2026-08-17,2666
ARES,2026-01-26,2026-08-28,87
ARGX,2017-05-18,2026-08-28,2332
ARM,2023-09-14,2026-08-28,741
ARMK,2016-01-04,2026-08-28,2678
ARW,2016-01-04,2026-08-28,2678
ARWR,2016-01-04,2026-08-28,2678
ARXS,2026-04-16,2026-08-28,93
AS,2024-02-01,2026-08-28,642
ASML,2016-01-04,2026-08-28,2616
ASND,2016-01-04,2026-08-28,2675
ASTS,2019-11-01,2026-08-28,1713
ASX,2016-01-04,2026-08-28,2678
ATI,2016-01-04,2026-08-28,2675
ATO,2016-01-04,2026-08-28,2674
AU,2016-01-04,2026-08-28,2678
AUR,2021-05-10,2026-08-28,1332
AVB,2016-01-04,2026-08-17,2666
AVGO,2016-01-04,2026-08-28,2674
