month,observations,tickers,median_price,positive_prices
2016-01,17486,927,28.578001976013184,17486
2016-02,18422,923,28.486083984375,18422
2016-03,20230,925,30.799999237060547,20230
2016-04,19408,927,31.68724536895752,19408
2016-05,19407,929,31.646499633789062,19407
2016-06,20409,930,32.400001525878906,20409
2016-07,18549,933,33.26042938232422,18549
2016-08,21423,935,33.81361770629883,21423
2016-09,19643,938,34.02684783935547,19643
2016-10,19692,941,33.623504638671875,19692
2016-11,19779,944,33.902366638183594,19779
2016-12,19849,946,35.018150329589844,19849
2017-01,18884,947,35.635663986206055,18884
2017-02,17943,948,36.18999862670898,17943
2017-03,21710,949,36.65683364868164,21710
2017-04,17930,948,36.7342643737793,17930
2017-05,20831,951,37.24165344238281,20831
2017-06,20863,951,37.88999938964844,20863
2017-07,18990,952,38.3967227935791,18990
2017-08,21866,954,37.95612716674805,21866
2017-09,19051,956,38.74160003662109,19051
2017-10,20900,956,40.40320014953613,20900
2017-11,20016,960,40.86912727355957,20016
2017-12,19170,960,42.19007873535156,19170
2018-01,20101,962,43.71979141235352,20101
2018-02,18190,958,41.900001525878906,18190
2018-03,20034,955,42.4871826171875,20034
2018-04,20066,959,42.17317771911621,20066
2018-05,21126,966,42.655569076538086,21126
2018-06,20284,967,43.20815849304199,20284
2018-07,20268,968,43.64412879943848,20268
2018-08,22303,970,43.15045928955078,22303
2018-09,18476,974,43.413818359375,18476
2018-10,22427,977,40.93027877807617,22427
2018-11,20497,976,40.11000061035156,20497
2018-12,18572,978,37.91019058227539,18572
2019-01,20585,981,39.36628723144531,20585
2019-02,18639,981,42.42154693603516,18639
2019-03,20707,990,42.07424545288086,20707
2019-04,20850,997,43.01279067993164,20850
2019-05,21942,999,42.428672790527344,21942
2019-06,19994,1001,42.711063385009766,19994
2019-07,22028,1002,44.12307167053223,22028
2019-08,22097,1005,41.942935943603516,22097
2019-09,20124,1008,43.68379783630371,20124
2019-10,23204,1010,43.32004928588867,23204
2019-11,20228,1012,44.94197654724121,20228
2019-12,21259,1013,45.72999954223633,21259
2020-01,21277,1016,46.86094284057617,21277
2020-02,19259,1014,45.88999938964844,19259
2020-03,22347,1017,34.770973205566406,22347
2020-04,21358,1018,35.050222396850586,21358
2020-05,20380,1019,37.72192192077637,20380
2020-06,22464,1023,40.80717658996582,22464
2020-07,22509,1024,41.459110260009766,22509
2020-08,21549,1028,43.43569564819336,21549
2020-09,21636,1034,43.03832817077637,21636
2020-10,22798,1038,44.733123779296875,22798
2020-11,20791,1041,47.812110900878906,20791
2020-12,23026,1049,50.03507614135742,23026
2021-01,19997,1054,52.459999084472656,19997
2021-02,20074,1057,54.367408752441406,20074
2021-03,24357,1061,55.92390060424805,24357
2021-04,22341,1066,57.6202392578125,22341
2021-05,21346,1068,57.3775577545166,21346
2021-06,23488,1070,58.13138961791992,23488
2021-07,22521,1075,56.91328811645508,22521
2021-08,23629,1075,56.96675491333008,23629
2021-09,22558,1077,56.49195671081543,22558
2021-10,22604,1078,56.9306583404541,22604
2021-11,22671,1081,58.542633056640625,22671
2021-12,23831,1084,57.60951614379883,23831
2022-01,21691,1086,57.86203384399414,21691
2022-02,20631,1086,56.64176940917969,20631
2022-03,24896,1087,55.89766883850098,24896
2022-04,21653,1084,56.795291900634766,21653
2022-05,22765,1084,53.23648452758789,22765
2022-06,22770,1085,51.21044731140137,22770
2022-07,21718,1087,50.619998931884766,21718
2022-08,25026,1089,53.61175537109375,25026
2022-09,22881,1090,49.973331451416016,22881
2022-10,22889,1090,48.10054016113281,22889
2022-11,22905,1091,52.03642272949219,22905
2022-12,22956,1094,52.786123275756836,22956
2023-01,21902,1095,55.20000076293945,21902
2023-02,20832,1097,56.43023490905762,20832
2023-03,25234,1098,52.77591323852539,25234
2023-04,20861,1098,53.971946716308594,20861
2023-05,24175,1099,53.642696380615234,24175
2023-06,23111,1101,54.89781951904297,23111
2023-07,22033,1103,57.23520278930664,22033
2023-08,25369,1103,56.310001373291016,25369
2023-09,22090,1106,55.45125961303711,22090
2023-10,24386,1111,52.225215911865234,24386
2023-11,23313,1111,53.89851379394531,23313
2023-12,22199,1110,57.722999572753906,22199
2024-01,23344,1114,58.57611274719238,23344
2024-02,22317,1116,59.2400016784668,22317
2024-03,22341,1120,62.916988372802734,22341
2024-04,24656,1122,63.115028381347656,24656
2024-05,24706,1123,64.73419570922852,24706
2024-06,21338,1123,64.2001724243164,21338
2024-07,24717,1125,64.53343963623047,24717
2024-08,24758,1126,65.9024429321289,24758
2024-09,22539,1128,68.88999938964844,22539
2024-10,25953,1129,70.33000183105469,25953
2024-11,22592,1130,72.47705841064453,22592
2024-12,23727,1130,71.87000274658203,23727
2025-01,22608,1131,70.76936721801758,22608
2025-02,21512,1133,70.69800567626953,21512
2025-03,23795,1134,67.98448181152344,23795
2025-04,23813,1134,63.28610610961914,23813
2025-05,23824,1135,68.21622085571289,23824
2025-06,22772,1141,70.03121185302734,22772
2025-07,25104,1142,72.29150390625,25104
2025-08,23999,1143,72.20286560058594,23999
2025-09,24041,1146,74.93000030517578,24041
2025-10,26408,1149,75.5386734008789,26408
2025-11,21830,1149,75.37000274658203,21830
2025-12,25266,1150,78.29000091552734,25266
2026-01,23131,1186,80.0216064453125,23131
2026-02,22411,1180,79.56999969482422,22411
2026-03,25982,1181,77.06499862670898,25982
2026-04,24824,1184,79.54504776000977,24824
2026-05,22355,1189,81.91000366210938,22355
2026-06,22062,1086,84.06999969482422,22062
2026-07,22324,1075,85.43000030517578,22324
2026-08,20655,1129,89.77999877929688,20655
